resource_name,action,risk_score,matched_terms,matched_combinations,normalized_text,recommendation
"חד""ת",ALLOW,0,חדת,,חדת,approved_example_allowed
חדש מורשת,ALLOW,0,"חדש, מורשת",,חדש מורשת,approved_example_allowed
לובי קולנוע,ALLOW,0,"לובי, קולנוע",,לובי קולנוע,approved_example_allowed
מגרש כדור רגל,ALLOW,0,"כדור, מגרש, רגל",,מגרש כדור רגל,approved_example_allowed
קולנוע,ALLOW,0,קולנוע,,קולנוע,approved_example_allowed
אולם ספורט,ALLOW,8,"אולם, ספורט",,אולם ספורט,approved_example_allowed
בריכה,ALLOW,8,בריכה,,בריכה,approved_example_allowed
"חד""ן אישי",ALLOW,0,אישי,,חדן אישי,approved_example_allowed
עמדת VC,ALLOW,0,עמדת,,עמדת vc,approved_example_allowed
פגישת קבע בכיר / מוסכם פרישה,BLOCK,88,"בכיר, מוסכם, פרישה, קבע",,פגישת קבע בכיר מוסכם פרישה,keep_blocked_rank_or_command_exposure
פגישת קבע ראשוני / קבע מובהק,ALLOW,0,"מובהק, קבע, ראשוני",,פגישת קבע ראשוני קבע מובהק,approved_example_allowed
משרד מפקד משותף,BLOCK,90,"מפקד, מפקדה, משותף, משרד",,משרד מפקד משותף,keep_blocked_rank_or_command_exposure
מכלול מפקדים,BLOCK,90,"מכלול, מפקדים",,מכלול מפקדים,keep_blocked_rank_or_command_exposure
"חד""ן",ALLOW,0,,,חדן,approved_example_allowed
"משרד מפקד - מחשב סודי , סודי ביותר, VC , VC מבצעי",BLOCK,90,"מבצעי, מחשב, מפקד, מפקדה, משרד, סודי, סודי ביותר",,משרד מפקד מחשב סודי סודי ביותר vc vc מבצעי,keep_blocked_rank_or_command_exposure
OneAman + Army,ALLOW,0,,,oneaman army,approved_example_allowed
OneAman + Army + Army - TS,ALLOW,0,,,oneaman army army ts,approved_example_allowed
